Degree,Major,CGPA,Employed,Experience,Skills,Certifications,Industry Preference,Job Role
MBA,Economics,7.38,no,2,"Statistics, Econometrics, Data Analysis, Python",PMP,Finance,Data Analyst
B.Tech,Finance,5.99,no,2,"Risk Analysis, Accounting, Financial Modeling, Excel, SQL",Six Sigma,Finance,Accountant
B.Tech,Electrical,9.75,yes,9,"Embedded Systems, MATLAB, Circuit Design",None,Education,Embedded Systems Engineer
B.Sc,Finance,7.89,no,6,"SQL, Excel, Accounting, Financial Modeling",None,Education,Investment Banker
B.Tech,Finance,7.55,no,0,"Excel, Accounting, SQL, Risk Analysis, Financial Modeling",PMP,Finance,Financial Analyst
M.Sc,Computer Science,9.91,yes,6,"Machine Learning, SQL, Java",PMP,IT,Software Engineer
M.Sc,Mechanical,8.52,yes,1,"SolidWorks, AutoCAD, MATLAB",None,Finance,Design Engineer
M.Sc,Electrical,6.67,no,6,"MATLAB, VHDL, Circuit Design",PMP,Manufacturing,Electronics Engineer
MBA,Computer Science,7.57,no,2,"Machine Learning, Python, C++, SQL",Data Science Certificate,Education,Data Scientist
M.Tech,Mechanical,9.01,no,5,"SolidWorks, MATLAB, Thermodynamics",None,Finance,Manufacturing Engineer
M.Sc,Finance,6.37,no,9,"Excel, SQL, Risk Analysis, Accounting, Financial Modeling",PMP,Finance,Investment Banker
